Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
rbow.644.fits,HIP115738,HIP115738,HIP115738,Off,Off,Off,Off,2019-09-20T07:14:53.27,23:26:56.0,  1:15:20.2,119.41046,1477440,4f658ec21abaddf655e029feb35ca2fd
rbow.669.fits,HIP15457,HIP15457,HIP15457,Off,Off,Off,Off,2019-09-20T09:48:34.57, 3:19:21.7,  3:22:12.7,113.28727,1477440,9a85535a5400e928957b609413a4cdeb
rbow.672.fits,hip36357,hip36357,None,Off,Off,Off,Off,2019-09-20T10:03:27.16, 7:29:01.8, 31:59:37.8,57.23157,1477440,4f1b69d8f5e8f3f27e5f1f8eb80e30c3
rbox.085.fits,HIP110395,HIP110395,HIP110395,Off,Off,Off,Off,2019-09-21T03:14:48.63,22:21:39.4, -1:23:14.4,119.45226,1477440,b1a802de9bf362bf2e22463e180326c9
rbox.086.fits,HIP110395,HIP110395,HIP110395,Off,Off,Off,Off,2019-09-21T03:16:17.36,22:21:39.4, -1:23:14.4,116.71095,1477440,56ba4e714e4e7818be7df2030cbd3629
rbox.088.fits,HIP110395,HIP110395,HIP110395,Off,Off,Off,Off,2019-09-21T03:19:15.88,22:21:39.4, -1:23:14.4,115.8011,1477440,ea98989cfab92ab7ad5e7b808cec96e3
rbox.089.fits,HIP110395,HIP110395,HIP110395,Off,Off,Off,Off,2019-09-21T03:20:44.74,22:21:39.4, -1:23:14.4,115.497955,1477440,bd466624ec2062f1f13002cc6a37d231
rbox.098.fits,HIP111169,HIP111169,HIP111169,Off,Off,Off,Off,2019-09-21T03:54:21.49,22:31:17.5, 50:16:57.0,155.37547,1477440,a0dcc56faa0072cbf8e13dbcfaa6755e
rbox.101.fits,HIP111169,HIP111169,HIP111169,Off,Off,Off,Off,2019-09-21T03:57:57.25,22:31:17.5, 50:16:57.0,156.5508,1477440,1a2d354647bb964718754062e5fbb101
rbox.112.fits,HIP70497,HIP70497,HIP70497,Off,Off,Off,Off,2019-09-21T04:38:24.06,14:25:11.8, 51:51:02.7,117.97207,1477440,08aee0563d714e964ff6622395e650d9
rbox.116.fits,HIP78072,HIP78072,HIP78072,Off,Off,Off,Off,2019-09-21T04:44:05.25,15:56:27.2, 15:39:41.8,123.949265,1477440,3ed95977c755f21841a16bc26ae92619
rbox.118.fits,HIP73996,HIP73996,HIP73996,Off,Off,Off,Off,2019-09-21T04:50:11.98,15:07:18.1, 24:52:09.1,145.33206,1477440,9d60cba4f15f662eb7cf833b1cd5e692
rbox.119.fits,HIP116771,HIP116771,HIP116771,Off,Off,Off,Off,2019-09-21T04:52:52.78,23:39:57.0,  5:37:34.6,127.00998,1477440,15354787339726a9ac87f0e6265badc4
rbox.120.fits,HIP116771,HIP116771,HIP116771,Off,Off,Off,Off,2019-09-21T04:54:15.82,23:39:57.0,  5:37:34.6,132.91647,1477440,a703a4c2fc98267ffc8e098b113fb14d
rbox.121.fits,HIP116771,HIP116771,HIP116771,Off,Off,Off,Off,2019-09-21T04:55:39.98,23:39:57.0,  5:37:34.6,127.495316,1477440,b6dc5071c588f0be3b480535ac13bf07
rbox.122.fits,HIP116771,HIP116771,HIP116771,Off,Off,Off,Off,2019-09-21T04:57:01.50,23:39:57.0,  5:37:34.6,132.31493,1477440,8ebcca4d13e46458a8e57b14a5543716
rbox.128.fits,HIP116495,HIP116495,HIP116495,Off,Off,Off,Off,2019-09-21T05:22:26.92,23:36:23.3,  2:06:08.0,92.56443,1477440,974abfc67711af7666b4431dab0ccb88
