source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
466294295706341760,46.046714035199294,0.0244993190298494,61.7028440436182,0.021873558377745243,42.39781895809111,0.028827374934081672,6.4673357,0.83359575,-2.33157599822883,0.12527887969000587,"NOT_AVAILABLE",5727.0,0.109,1.0534623,1.0755768,"HIP14286",46.04014367704875,61.705822039893334,42.3978,723.331,-691.7,-2.36,2000.0,4.3439226927946204E-7
5179806085976425984,46.06911345497778,0.11521854847119624,-7.600778957873587,0.11716034203780913,22.96907431993943,0.1381121532407927,5.1874743,0.2781334,,,"NOT_AVAILABLE",7661.0,0.4955,1.9644152,11.975761,"HIP14293",46.0688206933433,-7.6008547764234,22.9691,67.399,17.609,15.0,2000.0,2.4715339099573815E-9
239863001382455424,47.04222797272186,0.5511814446477498,40.95564357022187,9.96655256460981,,,4.340358,2.3780906,,,"NOT_AVAILABLE",4388.1997,,,,"HIP14576",47.04221855625,40.95564667027778,36.27,2.99,-1.66,4.0,2000.0,7.041393045609424E-6
2752746111688997248,4.56913512773437,0.06174389575110859,10.2026622865857,0.04845504325766367,59.59524419669824,0.09499359756203934,10.000949,2.1837416,-15.418348608570408,0.47044864868035907,"NOT_AVAILABLE",3860.0,0.2202,,,"HIP1463",4.5691246931203,10.2027885167591,59.5952,2.385,-29.318,-15.1,2000.0,2.0363963925933977E-9
436648129326142336,47.275134511686325,0.2217813120786171,49.61288637135178,0.23078272790826893,95.15866009883108,0.30212941159292545,3.8152835,0.7717376,49.90770841350406,0.20457811604353418,"NOT_AVAILABLE",6005.25,0.454,1.4374698,2.4211214,"HIP14632",47.26674942875,49.61327767722222,94.87,1262.41,-91.5,49.461,2000.0,3.472120067862953E-6
433103132036857856,47.375188018581625,0.22911660629920233,44.85686162995094,0.1983324752803312,29.632526966051756,0.28128814427028,3.426535,1.1892323,,,"NOT_AVAILABLE",4741.0,,9.676918,42.62346,"HIP14668",47.374048155833336,44.857540649166666,28.93,172.99,-143.4,29.4,2000.0,8.826335224182984E-5
434690036554889856,47.37577891101095,0.7159599724231341,45.73136705100375,0.7444191611510854,57.108801890767886,0.8197510050922041,9.217382,2.2279549,-4.555012120247849,0.9124506060104891,"NOT_AVAILABLE",3891.7324,,0.6380404,0.084132336,"HIP14669",47.3783830664619,45.7330078760372,57.1088,-422.179,-381.103,-8.3,2000.0,8.361696008198657E-8
378607281313491328,4.581555465168284,0.47720690279196276,36.78504269016301,0.38791099859125305,23.79435881633282,0.5952239835235364,4.509526,0.10313082,,,"NOT_AVAILABLE",9583.667,0.382,,,"HIP1473",4.581906062083333,36.78522518166666,24.2,-65.67,-42.0,-8.2,2000.0,2.565061092766128E-6
547825694242685184,47.98468137545759,0.13703976544903615,74.39328442928317,0.13201896054275708,19.95538937124288,0.16945543092952647,4.7871923,0.051213264,,,"NOT_AVAILABLE",9141.0,0.1465,,,"HIP14862",47.9844590019619,74.393657504425,19.9554,13.895,-86.65,11.9,2000.0,2.7866396036872574E-10
5166714578981717632,48.95842802126154,0.21538780163673257,-8.819530626246987,0.21463427992084563,28.338095647996017,0.24845942042486732,4.6870375,0.32848072,,,"NOT_AVAILABLE",7246.0,0.6137,2.2192132,12.23168,"HIP15197",48.9584390381185,-8.8197295126731,28.3381,-2.528,46.193,-5.8,2000.0,2.2114644064741353E-9
